PCUSerialNumber,WO_Requested,WO_WO#,WO_Type,ActiveStartTime,ActiveStopTime,TotalInfusionTime,TotalEqActiveTime
13923356,2021-05-19,728065,CEIN,2020-10-07 18:17:35,2020-12-31 13:40:45,2079878,2381766
13923395,2020-01-18,646946,CEIN,2020-01-01 11:58:31,2020-01-17 23:56:59,504054,623208
13923395,2020-05-27,669964,CECM,2020-01-16 19:02:33,2020-05-20 13:16:07,26139990,29890047
13923395,2020-12-01,699607,CECM,2020-06-12 21:03:44,2020-11-23 17:43:57,34001625,41457549
13923395,2021-01-17,707259,CEIN,2020-12-03 14:38:57,2020-12-30 15:32:58,1307898,1643677
13923416,2020-02-18,652519,CEIN,2020-01-01 06:53:10,2020-02-17 09:50:37,2676792,2981179
13923416,2020-03-19,656933,CECM,2020-02-18 18:45:39,2020-03-12 15:42:26,401715,543251
13923416,2020-09-24,688910,CECM,2020-03-28 15:17:15,2020-09-06 09:52:28,10711692,12760257
13923416,2021-02-17,711702,CEIN,2020-10-15 16:20:47,2020-12-30 13:08:49,6138164,9273844
13923632,2020-04-19,662255,CEIN,2020-01-11 20:12:06,2020-04-17 19:04:29,13302444,16288368
13923632,2020-05-18,666894,CECM,2020-04-19 14:55:26,2020-05-15 04:56:16,1126778,1239108
13923632,2020-07-14,676519,CECM,2020-05-26 06:45:42,2020-07-10 05:24:36,2641050,2885063
13923632,2021-04-19,723424,CEIN,2020-07-27 10:06:50,2020-12-30 12:14:10,8913470,11282132
13923633,2020-01-31,650537,CECM,2020-01-15 09:12:11,2020-01-23 11:46:27,242543,331123
13923633,2020-02-18,652575,CEIN,2020-02-07 06:52:27,2020-02-09 09:13:44,89832,138087
13923633,2020-07-10,676264,CECM,2020-02-24 22:34:46,2020-07-08 09:05:11,9180810,12034476
13923633,2021-02-17,711758,CEIN,2020-07-16 14:44:21,2020-12-31 22:09:44,9821266,12190000
